               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.073775,            0.014775,             0.01134,             0.72119,               0.475,             0.39168,             0.17712,            0.064284,            0.011575,            0.006959,            0.009307,            0.009307,            0.009307
                  37,            0.070818,             0.01461,            0.010103,              0.8106,               0.425,             0.47638,             0.16837,            0.057577,            0.011731,           0.0068706,           0.0092872,           0.0092872,           0.0092872
                  38,            0.068664,            0.015326,            0.011106,             0.23736,                0.85,             0.51059,             0.20493,            0.065474,           0.0094867,            0.006527,           0.0092674,           0.0092674,           0.0092674
                  39,            0.077674,            0.015603,            0.010141,              0.6062,                0.45,             0.17205,             0.03879,            0.073302,            0.010211,           0.0068191,           0.0092476,           0.0092476,           0.0092476
                  40,            0.082908,            0.014077,           0.0093817,              0.6062,                0.45,             0.17205,             0.03879,            0.073302,            0.010211,           0.0068191,           0.0092278,           0.0092278,           0.0092278
                  41,            0.077259,            0.012865,            0.010776,             0.19969,             0.87889,             0.35491,             0.18829,            0.059341,            0.010044,           0.0067913,            0.009208,            0.009208,            0.009208
                  42,            0.077448,            0.014211,            0.011353,             0.23462,               0.925,             0.29032,             0.09745,            0.072879,           0.0084246,           0.0063592,           0.0091882,           0.0091882,           0.0091882
                  43,            0.079985,            0.014145,            0.010234,             0.32788,                 0.8,             0.43455,             0.15723,            0.062064,           0.0090664,           0.0064388,           0.0091684,           0.0091684,           0.0091684
                  44,            0.073573,            0.013835,           0.0096517,             0.32788,                 0.8,             0.43455,             0.15723,            0.062064,           0.0090664,           0.0064388,           0.0091486,           0.0091486,           0.0091486
                  45,            0.068812,            0.015327,            0.010136,             0.70151,             0.82345,             0.86386,             0.32368,            0.050284,           0.0094457,           0.0063133,           0.0091288,           0.0091288,           0.0091288
                  46,            0.068091,            0.014927,           0.0095085,             0.52995,                0.75,             0.76518,              0.2318,             0.06216,           0.0088092,           0.0060379,            0.009109,            0.009109,            0.009109
                  47,            0.071062,            0.012477,           0.0083531,             0.39708,                0.85,             0.46714,             0.19172,            0.057533,           0.0091407,           0.0052829,           0.0090892,           0.0090892,           0.0090892
                  48,            0.068136,            0.016042,           0.0083797,             0.39708,                0.85,             0.46714,             0.19172,            0.057533,           0.0091407,           0.0052829,           0.0090694,           0.0090694,           0.0090694
                  49,            0.064908,            0.014278,           0.0087505,              0.2963,             0.86937,             0.45293,             0.18531,            0.055448,           0.0089436,           0.0050148,           0.0090496,           0.0090496,           0.0090496
                  50,            0.065559,            0.015253,           0.0078487,             0.44647,               0.875,             0.74032,             0.20672,            0.056447,           0.0086559,           0.0049394,           0.0090298,           0.0090298,           0.0090298
